Match end by win. Winner: qwer.
Match end at Sat Jul 23 20:16:03 2022

IP Address: 127.0.0.1	Player 1: qwer

IP Address: 127.0.0.1	Player 2: admin
Move Log
{x: 11, y: 9, type: 1}
{x: 10, y: 8, type: 2}
{x: 10, y: 9, type: 1}
{x: 13, y: 8, type: 2}
{x: 11, y: 3, type: 1}
{x: 3, y: 4, type: 2}
{x: 2, y: 9, type: 1}
{x: 6, y: 11, type: 2}
{x: 4, y: 12, type: 1}
{x: 8, y: 11, type: 2}
{x: 7, y: 5, type: 1}
{x: 6, y: 4, type: 2}
{x: 12, y: 8, type: 1}
{x: 7, y: 7, type: 2}
{x: 8, y: 12, type: 1}
{x: 14, y: 15, type: 2}
{x: 10, y: 12, type: 1}
{x: 6, y: 13, type: 2}
{x: 9, y: 15, type: 1}
{x: 5, y: 14, type: 2}
{x: 6, y: 12, type: 1}
{x: 9, y: 11, type: 2}
{x: 12, y: 11, type: 1}
{x: 12, y: 13, type: 2}
{x: 12, y: 14, type: 1}
{x: 7, y: 9, type: 2}
{x: 11, y: 10, type: 1}
